regulatoryGene	targetGene	weight	TF_gene	TF
Nitab4.5_0000850g0070	Nitab4.5_0011578g0040	0.06295604	G2-like	TF
Nitab4.5_0000141g0300	Nitab4.5_0003218g0050	0.062690851	HB	TF
Nitab4.5_0007375g0020	Nitab4.5_0002120g0050	0.062590714	WRKY	TF
Nitab4.5_0000284g0090	Nitab4.5_0013376g0010	0.062578372	TAZ	TF
Nitab4.5_0006069g0010	Nitab4.5_0002908g0110	0.062545313	LOB	TF
Nitab4.5_0000188g0310	Nitab4.5_0023530g0010	0.062522569	NAC	TF
Nitab4.5_0010381g0010	Nitab4.5_0004816g0090	0.062515738	bHLH	TF
Nitab4.5_0007375g0020	Nitab4.5_0002823g0010	0.062433579	WRKY	TF
Nitab4.5_0006628g0020	Nitab4.5_0004032g0050	0.062248806	HB	TF
Nitab4.5_0007375g0020	Nitab4.5_0003991g0020	0.062193318	WRKY	TF
Nitab4.5_0004657g0030	Nitab4.5_0002446g0130	0.062137481	ARF	TF
Nitab4.5_0025760g0010	Nitab4.5_0000360g0100	0.061976781	WRKY	TF
Nitab4.5_0000308g0220	Nitab4.5_0011765g0020	0.061562293	bHLH	TF
Nitab4.5_0007375g0020	Nitab4.5_0005622g0070	0.061527714	WRKY	TF
Nitab4.5_0025760g0010	Nitab4.5_0004861g0030	0.061400085	WRKY	TF
Nitab4.5_0001930g0010	Nitab4.5_0002991g0030	0.061186293	mTERF	TF
Nitab4.5_0007527g0010	Nitab4.5_0001755g0060	0.061076468	C2C2-GATA	TF
Nitab4.5_0001778g0090	Nitab4.5_0000688g0210	0.06103131	HSF	TF
Nitab4.5_0002289g0130	Nitab4.5_0014911g0010	0.060715027	AP2-EREBP	TF
Nitab4.5_0001610g0040	Nitab4.5_0005979g0010	0.060619692	NAC	TF
Nitab4.5_0000188g0310	Nitab4.5_0002910g0010	0.060520033	NAC	TF
Nitab4.5_0000188g0310	Nitab4.5_0002367g0170	0.060412663	NAC	TF
Nitab4.5_0000308g0220	Nitab4.5_0000634g0080	0.060340715	bHLH	TF
Nitab4.5_0009714g0010	Nitab4.5_0000277g0060	0.060295088	MYB	TF
Nitab4.5_0002863g0040	Nitab4.5_0002354g0030	0.060174718	C2C2-Dof	TF
Nitab4.5_0001930g0010	Nitab4.5_0001106g0080	0.060138218	mTERF	TF
Nitab4.5_0025760g0010	Nitab4.5_0000350g0050	0.060024026	WRKY	TF
Nitab4.5_0001930g0010	Nitab4.5_0003368g0030	0.059981938	mTERF	TF
Nitab4.5_0000497g0200	Nitab4.5_0008527g0010	0.059971764	LIM	TF
Nitab4.5_0000850g0070	Nitab4.5_0000233g0050	0.059909854	G2-like	TF
Nitab4.5_0007375g0020	Nitab4.5_0000990g0040	0.059839133	WRKY	TF
Nitab4.5_0007330g0040	Nitab4.5_0009370g0010	0.059814812	DBP	TF
Nitab4.5_0009714g0010	Nitab4.5_0006300g0020	0.05962676	MYB	TF
Nitab4.5_0003077g0060	Nitab4.5_0011709g0010	0.059586968	TCP	TF
Nitab4.5_0000092g0120	Nitab4.5_0001711g0060	0.059579636	GRAS	TF
Nitab4.5_0005648g0020	Nitab4.5_0002334g0130	0.05952913	HSF	TF
Nitab4.5_0000287g0240	Nitab4.5_0007208g0010	0.059476863	bZIP	TF
Nitab4.5_0013336g0010	Nitab4.5_0000716g0020	0.059458129	ARF	TF
Nitab4.5_0000497g0200	Nitab4.5_0000681g0080	0.059367718	LIM	TF
Nitab4.5_0001962g0080	Nitab4.5_0003099g0070	0.059324428	RWP-RK	TF
Nitab4.5_0009734g0010	Nitab4.5_0001239g0110	0.059213023	C2C2-CO-like	TF
Nitab4.5_0010633g0050	Nitab4.5_0002881g0030	0.059203592	MYB	TF
Nitab4.5_0005648g0020	Nitab4.5_0007454g0020	0.059191919	HSF	TF
Nitab4.5_0007375g0020	Nitab4.5_0009495g0020	0.059165286	WRKY	TF
Nitab4.5_0002760g0050	Nitab4.5_0003884g0020	0.059148555	bZIP	TF
Nitab4.5_0000850g0070	Nitab4.5_0000277g0060	0.059113375	G2-like	TF
Nitab4.5_0025760g0010	Nitab4.5_0008527g0010	0.059111923	WRKY	TF
Nitab4.5_0001304g0070	Nitab4.5_0010777g0020	0.059086218	C2C2-Dof	TF
Nitab4.5_0025760g0010	Nitab4.5_0000837g0120	0.05905927	WRKY	TF
Nitab4.5_0000188g0310	Nitab4.5_0009044g0040	0.058879282	NAC	TF
Nitab4.5_0013336g0010	Nitab4.5_0010516g0040	0.058859392	ARF	TF
Nitab4.5_0002003g0070	Nitab4.5_0002782g0040	0.058836198	LOB	TF
Nitab4.5_0000040g0110	Nitab4.5_0005930g0040	0.058769753	NAC	TF
Nitab4.5_0002367g0010	Nitab4.5_0000201g0200	0.058643795	ARF	TF
Nitab4.5_0014751g0010	Nitab4.5_0007348g0010	0.058505622	C2H2	TF
Nitab4.5_0008488g0010	Nitab4.5_0008566g0010	0.058116272	MYB	TF
Nitab4.5_0004282g0040	Nitab4.5_0001735g0010	0.058108761	C2H2	TF
Nitab4.5_0000600g0080	Nitab4.5_0000280g0010	0.058103561	AP2-EREBP	TF
Nitab4.5_0002881g0030	Nitab4.5_0001159g0050	0.058004077	bHLH	TF
Nitab4.5_0001930g0010	Nitab4.5_0001866g0030	0.057891833	mTERF	TF
Nitab4.5_0007386g0010	Nitab4.5_0003884g0020	0.057834622	bZIP	TF
Nitab4.5_0001536g0060	Nitab4.5_0001591g0210	0.057749285	bHLH	TF
Nitab4.5_0010381g0010	Nitab4.5_0010010g0010	0.057607597	bHLH	TF
Nitab4.5_0000989g0080	Nitab4.5_0004438g0050	0.05758862	C2C2-CO-like	TF
Nitab4.5_0002182g0080	Nitab4.5_0000063g0070	0.0575347	C2C2-GATA	TF
Nitab4.5_0000974g0020	Nitab4.5_0013024g0010	0.057503835	C2C2-CO-like	TF
Nitab4.5_0000974g0020	Nitab4.5_0012487g0020	0.057489897	C2C2-CO-like	TF
Nitab4.5_0000895g0070	Nitab4.5_0002096g0140	0.057349047	MYB	TF
Nitab4.5_0007375g0020	Nitab4.5_0025760g0010	0.057301482	WRKY	TF
Nitab4.5_0003774g0010	Nitab4.5_0000038g0020	0.057282315	MADS	TF
Nitab4.5_0006144g0030	Nitab4.5_0006276g0010	0.057266749	MYB	TF
Nitab4.5_0001930g0010	Nitab4.5_0005544g0070	0.057262202	mTERF	TF
Nitab4.5_0009514g0070	Nitab4.5_0012487g0020	0.057248491	PLATZ	TF
Nitab4.5_0007330g0040	Nitab4.5_0006222g0020	0.05724775	DBP	TF
Nitab4.5_0004955g0020	Nitab4.5_0004214g0010	0.057205638	HB	TF
Nitab4.5_0009676g0030	Nitab4.5_0002007g0060	0.057197198	bZIP	TF
Nitab4.5_0007375g0020	Nitab4.5_0000188g0340	0.057183777	WRKY	TF
Nitab4.5_0007375g0020	Nitab4.5_0000562g0100	0.057091611	WRKY	TF
Nitab4.5_0025760g0010	Nitab4.5_0001310g0010	0.05699588	WRKY	TF
Nitab4.5_0003309g0010	Nitab4.5_0000681g0080	0.056884667	zf-HD	TF
Nitab4.5_0000974g0020	Nitab4.5_0000726g0030	0.056853464	C2C2-CO-like	TF
Nitab4.5_0009514g0070	Nitab4.5_0013024g0010	0.056848304	PLATZ	TF
Nitab4.5_0000497g0200	Nitab4.5_0010112g0010	0.056832702	LIM	TF
Nitab4.5_0001962g0080	Nitab4.5_0012173g0020	0.056727266	RWP-RK	TF
Nitab4.5_0004282g0040	Nitab4.5_0010110g0030	0.056711068	C2H2	TF
Nitab4.5_0000508g0140	Nitab4.5_0006456g0040	0.056688156	WRKY	TF
Nitab4.5_0007480g0030	Nitab4.5_0002346g0050	0.05655582	bZIP	TF
Nitab4.5_0000850g0070	Nitab4.5_0000108g0440	0.05651142	G2-like	TF
Nitab4.5_0007375g0020	Nitab4.5_0017813g0010	0.056475439	WRKY	TF
Nitab4.5_0000600g0080	Nitab4.5_0004928g0060	0.056455716	AP2-EREBP	TF
Nitab4.5_0000850g0070	Nitab4.5_0001622g0160	0.056381747	G2-like	TF
Nitab4.5_0000284g0090	Nitab4.5_0000106g0330	0.056344815	TAZ	TF
Nitab4.5_0001930g0010	Nitab4.5_0000377g0190	0.056302797	mTERF	TF
Nitab4.5_0025760g0010	Nitab4.5_0000023g0380	0.056255425	WRKY	TF
Nitab4.5_0002760g0050	Nitab4.5_0000895g0070	0.056224739	bZIP	TF
Nitab4.5_0000644g0190	Nitab4.5_0000219g0120	0.056213613	C3H	TF
Nitab4.5_0000850g0070	Nitab4.5_0003259g0070	0.056054969	G2-like	TF
Nitab4.5_0025760g0010	Nitab4.5_0000188g0340	0.055991808	WRKY	TF
Nitab4.5_0001962g0080	Nitab4.5_0004261g0030	0.055964005	RWP-RK	TF
Nitab4.5_0000287g0240	Nitab4.5_0000124g0040	0.055956259	bZIP	TF
Nitab4.5_0013336g0010	Nitab4.5_0006460g0010	0.055845088	ARF	TF
Nitab4.5_0001962g0080	Nitab4.5_0010210g0010	0.055843638	RWP-RK	TF
Nitab4.5_0000913g0020	Nitab4.5_0002791g0020	0.055785365	NAC	TF
Nitab4.5_0000497g0200	Nitab4.5_0003207g0080	0.055699411	LIM	TF
Nitab4.5_0001555g0080	Nitab4.5_0007665g0050	0.05566998	DBP	TF
Nitab4.5_0007375g0020	Nitab4.5_0018960g0010	0.055616688	WRKY	TF
Nitab4.5_0000533g0010	Nitab4.5_0006456g0040	0.05558162	AP2-EREBP	TF
Nitab4.5_0009447g0010	Nitab4.5_0000769g0180	0.055485353	bZIP	TF
Nitab4.5_0001231g0050	Nitab4.5_0001919g0080	0.055443097	AP2-EREBP	TF
Nitab4.5_0001962g0080	Nitab4.5_0008173g0030	0.05541914	RWP-RK	TF
Nitab4.5_0000188g0310	Nitab4.5_0007510g0010	0.055354348	NAC	TF
Nitab4.5_0025760g0010	Nitab4.5_0002823g0100	0.055202679	WRKY	TF
Nitab4.5_0014911g0010	Nitab4.5_0001159g0050	0.055193282	AP2-EREBP	TF
Nitab4.5_0000508g0140	Nitab4.5_0000403g0030	0.055190689	WRKY	TF
Nitab4.5_0009514g0070	Nitab4.5_0002796g0050	0.055188351	PLATZ	TF
Nitab4.5_0010633g0050	Nitab4.5_0000046g0160	0.055158479	MYB	TF
Nitab4.5_0009714g0010	Nitab4.5_0011597g0020	0.055113562	MYB	TF
Nitab4.5_0000188g0310	Nitab4.5_0006456g0040	0.055069332	NAC	TF
Nitab4.5_0025760g0010	Nitab4.5_0000416g0220	0.055068359	WRKY	TF
Nitab4.5_0008488g0010	Nitab4.5_0001379g0080	0.055042963	MYB	TF
Nitab4.5_0006144g0030	Nitab4.5_0000101g0270	0.055028211	MYB	TF
Nitab4.5_0001735g0010	Nitab4.5_0002823g0010	0.05497573	C2H2	TF
Nitab4.5_0003309g0010	Nitab4.5_0001961g0080	0.054961134	zf-HD	TF
Nitab4.5_0007375g0020	Nitab4.5_0003322g0020	0.054940007	WRKY	TF
Nitab4.5_0000895g0070	Nitab4.5_0001840g0060	0.054910223	MYB	TF
Nitab4.5_0005914g0020	Nitab4.5_0002096g0140	0.054882878	NAC	TF
Nitab4.5_0003083g0010	Nitab4.5_0001591g0020	0.054860517	C2C2-GATA	TF
Nitab4.5_0000716g0250	Nitab4.5_0012712g0020	0.054808896	HSF	TF
Nitab4.5_0025760g0010	Nitab4.5_0000990g0040	0.054771454	WRKY	TF
Nitab4.5_0001865g0010	Nitab4.5_0011952g0010	0.054745085	HB	TF
Nitab4.5_0025760g0010	Nitab4.5_0003779g0100	0.054738355	WRKY	TF
Nitab4.5_0000913g0020	Nitab4.5_0009367g0020	0.054706054	NAC	TF
Nitab4.5_0001930g0010	Nitab4.5_0002414g0010	0.054687196	mTERF	TF
Nitab4.5_0002419g0050	Nitab4.5_0005400g0020	0.054676917	AP2-EREBP	TF
Nitab4.5_0001610g0040	Nitab4.5_0002527g0030	0.054633672	NAC	TF
Nitab4.5_0014911g0010	Nitab4.5_0002095g0040	0.05458922	AP2-EREBP	TF
Nitab4.5_0007375g0020	Nitab4.5_0002010g0010	0.054511421	WRKY	TF
Nitab4.5_0001762g0010	Nitab4.5_0000542g0010	0.054441133	HSF	TF
Nitab4.5_0009714g0010	Nitab4.5_0000108g0440	0.054377769	MYB	TF
Nitab4.5_0009734g0010	Nitab4.5_0000453g0200	0.05433487	C2C2-CO-like	TF
Nitab4.5_0000974g0020	Nitab4.5_0009734g0010	0.054313073	C2C2-CO-like	TF
Nitab4.5_0007375g0020	Nitab4.5_0004097g0050	0.054236322	WRKY	TF
Nitab4.5_0003774g0010	Nitab4.5_0002342g0170	0.054231313	MADS	TF
Nitab4.5_0000892g0150	Nitab4.5_0007501g0020	0.054227912	HB	TF
Nitab4.5_0001997g0120	Nitab4.5_0001756g0090	0.054222932	MADS	TF
Nitab4.5_0014751g0010	Nitab4.5_0006377g0010	0.054152999	C2H2	TF
Nitab4.5_0006156g0010	Nitab4.5_0002775g0060	0.054090201	S1Fa-like	TF
Nitab4.5_0001962g0080	Nitab4.5_0000906g0010	0.054042911	RWP-RK	TF
Nitab4.5_0007330g0040	Nitab4.5_0000188g0310	0.054025468	DBP	TF
Nitab4.5_0007956g0050	Nitab4.5_0000073g0240	0.054023275	LOB	TF
Nitab4.5_0003309g0010	Nitab4.5_0006329g0010	0.053997413	zf-HD	TF
Nitab4.5_0001180g0220	Nitab4.5_0013616g0020	0.053959324	MYB	TF
Nitab4.5_0005993g0040	Nitab4.5_0001735g0010	0.05389588	NAC	TF
Nitab4.5_0001962g0080	Nitab4.5_0000348g0040	0.053884404	RWP-RK	TF
Nitab4.5_0001962g0080	Nitab4.5_0009044g0040	0.053877585	RWP-RK	TF
Nitab4.5_0012899g0010	Nitab4.5_0004613g0080	0.053872225	AP2-EREBP	TF
Nitab4.5_0002182g0080	Nitab4.5_0002038g0020	0.053820774	C2C2-GATA	TF
Nitab4.5_0004614g0010	Nitab4.5_0003447g0040	0.053779256	MYB	TF
Nitab4.5_0002003g0070	Nitab4.5_0000857g0030	0.053759234	LOB	TF
Nitab4.5_0009447g0010	Nitab4.5_0000108g0050	0.05371617	bZIP	TF
Nitab4.5_0001962g0080	Nitab4.5_0000368g0160	0.053649321	RWP-RK	TF
Nitab4.5_0002289g0130	Nitab4.5_0002590g0030	0.053639409	AP2-EREBP	TF
Nitab4.5_0008692g0010	Nitab4.5_0003854g0020	0.053627362	C2C2-Dof	TF
Nitab4.5_0000895g0070	Nitab4.5_0005139g0070	0.053621772	MYB	TF
Nitab4.5_0001962g0080	Nitab4.5_0001857g0030	0.053498028	RWP-RK	TF
Nitab4.5_0009714g0010	Nitab4.5_0001128g0010	0.053497346	MYB	TF
Nitab4.5_0000913g0020	Nitab4.5_0001379g0090	0.053490465	NAC	TF
Nitab4.5_0002881g0030	Nitab4.5_0001187g0070	0.053449717	bHLH	TF
Nitab4.5_0000673g0080	Nitab4.5_0002279g0030	0.053440568	MYB	TF
Nitab4.5_0000497g0200	Nitab4.5_0000837g0120	0.053397391	LIM	TF
Nitab4.5_0000497g0200	Nitab4.5_0004861g0040	0.053380798	LIM	TF
Nitab4.5_0000280g0010	Nitab4.5_0000090g0230	0.053375601	AP2-EREBP	TF
Nitab4.5_0000533g0010	Nitab4.5_0000503g0010	0.053374653	AP2-EREBP	TF
Nitab4.5_0001180g0220	Nitab4.5_0007994g0010	0.053334234	MYB	TF
Nitab4.5_0007375g0020	Nitab4.5_0001842g0070	0.053325984	WRKY	TF
Nitab4.5_0000188g0310	Nitab4.5_0004261g0030	0.053302863	NAC	TF
Nitab4.5_0000287g0240	Nitab4.5_0008658g0010	0.053291954	bZIP	TF
Nitab4.5_0001930g0010	Nitab4.5_0000108g0440	0.053281528	mTERF	TF
Nitab4.5_0011780g0020	Nitab4.5_0000231g0240	0.053263639	bZIP	TF
Nitab4.5_0001735g0010	Nitab4.5_0002717g0050	0.053250144	C2H2	TF
Nitab4.5_0009734g0010	Nitab4.5_0000974g0020	0.053228057	C2C2-CO-like	TF
Nitab4.5_0002419g0060	Nitab4.5_0002096g0140	0.053194858	AP2-EREBP	TF
Nitab4.5_0007375g0020	Nitab4.5_0001477g0080	0.053079851	WRKY	TF
Nitab4.5_0001960g0060	Nitab4.5_0003786g0010	0.053035621	MYB	TF
Nitab4.5_0000989g0080	Nitab4.5_0000083g0250	0.052924035	C2C2-CO-like	TF
Nitab4.5_0002715g0060	Nitab4.5_0000368g0350	0.052853748	GRAS	TF
Nitab4.5_0014751g0010	Nitab4.5_0001327g0040	0.052824336	C2H2	TF
